"","Symbol","Name","Branche"
"262","ATLC","Atlanticus Holdings","Finanzen"
"263","ATLO","Ames National","Finanzen"
"264","ATNF","180 Life Sciences",NA
"265","ATNI","ATN International","Technologie"
"266","ATNX","Athenex","Technologie"
"267","ATOM","Atomera Incorporated ",NA
"268","ATOS","Atossa Therapeutics","Gesundheitswesen"
"269","ATRA","Atara Biotherapeutics","Gesundheitswesen"
"270","ATRC","AtriCure","Gesundheitswesen"
"271","ATRI","Atrion",NA
"272","ATRO","Astronics","Sonstige"
"273","ATRS","Antares Pharma","Gesundheitswesen"
"274","ATSG","Air Transport Services Group Inc ",NA
"275","ATVI","Activision Blizzard Inc ",NA
"276","ATXI","Avenue Therapeutics","Gesundheitswesen"
"277","AUB","Atlantic Union Bankshares",NA
"278","AUBN","Auburn National Bancorporation",NA
"279","AUDC","AudioCodes",NA
"280","AUPH","Aurinia Pharmaceuticals Inc ",NA
"281","AUTL","Autolus Therapeutics plc ",NA
"282","AUTO","AutoWeb",NA
"283","AUVI","Applied UV",NA
"284","AVAV","AeroVironment",NA
"285","AVCO","Avalon GloboCare",NA
"286","AVCT","American Virtual Cloud Technologies ",NA
"287","AVDL","Avadel Pharmaceuticals plc ",NA
"288","AVEO","AVEO Pharmaceuticals",NA
"289","AVGO","Broadcom","Technologie"
"290","AVGR","Avinger","Gesundheitswesen"
"291","AVID","Avid Technology",NA
"292","AVIR","Atea Pharmaceuticals",NA
"293","AVNW","Aviat Networks",NA
"294","AVO","Mission Produce",NA
"295","AVRO","AVROBIO","Gesundheitswesen"
"296","AVT","Avnet",NA
"297","AVXL","Anavex Life Sciences",NA
"298","AWH","Aspira Women's Health",NA
"299","AWRE","Aware",NA
"300","AXAS","Abraxas Petroleum",NA
"301","AXDX","Accelerate Diagnostics",NA
"302","AXGN","Axogen","Gesundheitswesen"
"303","AXLA","Axcella Health","Technologie"
"304","AXNX","Axonics Modulation Technologies","Gesundheitswesen"
"305","AXSM","Axsome Therapeutics","Technologie"
"306","AXTI","AXT Inc ",NA
"307","AY","Atlantica Sustainable Infrastructure plc ",NA
"308","AYLA","Ayala Pharmaceuticals",NA
"309","AYRO","AYRO",NA
"310","AYTU","Aytu BioScience","Gesundheitswesen"
"311","AZN","AstraZeneca PLC ",NA
"312","AZPN","Aspen Technology",NA
"313","AZRX","AzurRx BioPharma","Gesundheitswesen"
"314","AZYO","Aziyo Biologics",NA
"315","BAND","Bandwidth",NA
"316","BANF","BancFirst",NA
"317","BANR","Banner","Finanzen"
"318","BANX","StoneCastle Financial Corp ",NA
"319","BASI","Bioanalytical Systems",NA
"320","BATRA","Liberty Media",NA
"321","BBBY","Bed Bath & Beyond","Konsumgüter"
"322","BBCP","Concrete Pumping Holdings ",NA
"323","BBGI","Beasley Broadcast Group",NA
"324","BBH","VanEck Vectors Biotech ETF",NA
"325","BBI","Brickell Biotech","Technologie"
"326","BBIG","Vinco Ventures",NA
"327","BBIO","BridgeBio Pharma","Gesundheitswesen"
"328","BBQ","BBQ Holdings ",NA
"329","BBSI","Barrett Business Services",NA
"330","BCBP","BCB Bancorp(NJ) ",NA
"331","BCDA","BioCardia",NA
"332","BCEL","Atreca",NA
"333","BCLI","Brainstorm Cell Therapeutics","Technologie"
"334","BCML","BayCom Corp ",NA
"335","BCOR","Blucora",NA
"336","BCOV","Brightcove",NA
"337","BCOW","1895 Bancorp of Wisconsin",NA
"338","BCPC","Balchem","Chemie"
"339","BCRX","BioCryst Pharmaceuticals",NA
"340","BCTG","BCTG Acquisition",NA
"341","BCYC","Bicycle Therapeutics plc ",NA
"342","BDGE","Bridge Bancorp","Finanzen"
"343","BDSI","BioDelivery Sciences International",NA
"344","BDSX","Biodesix",NA
"345","BDTX","Black Diamond Therapeutics","Technologie"
"346","BEAM","Beam Therapeutics","Technologie"
"347","BEAT","BioTelemetry","Finanzen"
"348","BECN","Beacon Roofing Supply",NA
"349","BEEM","Beam Global ",NA
"350","BELFA","Bel Fuse",NA
"351","BFC","Bank First","Finanzen"
"352","BFIN","BankFinancial","Finanzen"
"353","BFIT","Global X Health & Wellness Thematic ETF",NA
"354","BFRA","Biofrontera AG ",NA
"355","BFST","Business First Bancshares","Finanzen"
"356","BGCP","BGC Partners",NA
"357","BGFV","Big 5 Sporting Goods","Konsumgüter"
"358","BGNE","BeiGene","Gesundheitswesen"
"359","BGRN","iShares Global Green Bond ETF",NA
"360","BHAT","Blue Hat Interactive Entertainment Technology ",NA
"361","BHF","Brighthouse Financial","Finanzen"
"362","BHSEU","Bull Horn Holdings",NA
"363","BHTG","BioHiTech Global",NA
"364","BIB","ProShares Ultra Nasdaq Biotechnology",NA
"365","BICK","First Trust BICK Index Fund",NA
"366","BIDU","Baidu",NA
"367","BIGC","BigCommerce Holdings",NA
"368","BIIB","Biogen","Technologie"
"369","BILI","Bilibili",NA
"370","BIMI","BOQI International Medical",NA
"371","BIOC","Biocept",NA
"372","BIOL","Biolase","Gesundheitswesen"
"373","BIS","ProShares UltraShort Nasdaq Biotechnology",NA
"374","BIVI","BioVie",NA
"375","BJK","VanEck Vectors Gaming ETF",NA
"376","BJRI","BJ's Restaurants",NA
"377","BKCC","BlackRock Capital Investment",NA
"378","BKEP","Blueknight Energy Partners L.P. L.L.C. ",NA
"379","BKNG","Booking Holdings",NA
"380","BKSC","Bank of South Carolina",NA
"381","BKYI","BIO",NA
"382","BL","BlackLine",NA
"383","BLBD","Blue Bird",NA
"384","BLCM","Bellicum Pharmaceuticals","Gesundheitswesen"
"385","BLCN","Reality Shares Nasdaq NextGen Economy ETF",NA
"386","BLCT","BlueCity Holdings Limited ",NA
"387","BLDP","Ballard Power Systems",NA
"388","BLDR","Builders FirstSource",NA
"389","BLFS","BioLife Solutions",NA
"390","BLI","Berkeley Lights",NA
"391","BLIN","Bridgeline Digital",NA
"392","BLKB","Blackbaud",NA
"393","BLMN","Bloomin' Brands","Konsumgüter"
"394","BLNK","Blink Charging Co. ",NA
"395","BLPH","Bellerophon Therapeutics","Gesundheitswesen"
"396","BLRX","BioLineRx",NA
"397","BLSA","BCLS Acquisition",NA
"398","BLU","BELLUS Health","Technologie"
"399","BLUE","bluebird bio","Gesundheitswesen"
"400","BMCH","BMC Stock Holdings",NA
"401","BMLP","Dorsey Wright MLP Index ETNs due December 10 2036",NA
"402","BMRA","Biomerica","Gesundheitswesen"
"403","BMRC","Bank of Marin Bancorp ",NA
"404","BMRN","BioMarin Pharmaceutical",NA
"405","BMTC","Bryn Mawr Bank","Finanzen"
"406","BND","Vanguard Total Bond Market ETF",NA
"407","BNDW","Vanguard Total World Bond ETF",NA
"408","BNDX","Vanguard Total International Bond ETF",NA
"409","BNFT","Benefitfocus",NA
"410","BNGO","Bionano Genomics","Technologie"
"411","BNR","Burning Rock Biotech Limited ",NA
