"","Symbol","Name","Branche"
"1164","FNWB","First Northwest Bancorp ",NA
"1165","FNX","First Trust Mid Cap Core AlphaDEX Fund",NA
"1166","FNY","First Trust Mid Cap Growth AlphaDEX Fund",NA
"1167","FOCS","Focus Financial Partners",NA
"1168","FOLD","Amicus Therapeutics","Gesundheitswesen"
"1169","FONR","Fonar","Gesundheitswesen"
"1170","FORD","Forward Industries","Sonstige"
"1171","FORK","Fuling Global","Konsumgüter"
"1172","FORM","FormFactor",NA
"1173","FORR","Forrester Research",NA
"1174","FORTY","Formula Systems (1985)",NA
"1175","FOSL","Fossil Group","Sonstige"
"1176","FOX","Fox",NA
"1177","FOXF","Fox Factory Holding","Fahrzeugindustrie"
"1178","FPA","First Trust Asia Pacific Ex",NA
"1179","FPAY","FlexShopper",NA
"1180","FPRX","Five Prime Therapeutics","Technologie"
"1181","FPXE","First Trust IPOX Europe Equity Opportunities ETF",NA
"1182","FPXI","First Trust International Equity Opportunities ETF",NA
"1183","FRAF","Franklin Financial Services","Finanzen"
"1184","FRAN","Francesca's Holdings","Finanzen"
"1185","FRBA","First Bank ",NA
"1186","FRBK","Republic First Bancorp","Finanzen"
"1187","FREE","Whole Earth Brands",NA
"1188","FREQ","Frequency Therapeutics","Technologie"
"1189","FRG","Franchise Group",NA
"1190","FRGI","Fiesta Restaurant Group","Konsumgüter"
"1191","FRHC","Freedom Holding","Finanzen"
"1192","FRLN","Freeline Therapeutics Holdings plc ",NA
"1193","FRME","First Merchants","Finanzen"
"1194","FROG","JFrog",NA
"1195","FRPH","FRP Holdings","Infrakstruktur"
"1196","FRPT","Freshpet","Konsumgüter"
"1197","FRSX","Foresight Autonomous Holdings",NA
"1198","FRTA","Forterra",NA
"1199","FSBW","FS Bancorp","Finanzen"
"1200","FSBW","FS Bancorp","Finanzen"
"1201","FSDC","FS Development",NA
"1202","FSEA","First Seacoast Bancorp ",NA
"1203","FSFG","First Savings Financial Group","Finanzen"
"1204","FSFG","First Savings Financial Group","Finanzen"
"1205","FSLR","First Solar",NA
"1206","FSRV","FinServ Acquisition",NA
"1207","FSTR","L.B. Foster Company ",NA
"1208","FSV","FirstService","Immobilien"
"1209","FSZ","First Trust Switzerland AlphaDEX Fund",NA
"1210","FTA","First Trust Large Cap Value AlphaDEX Fund",NA
"1211","FTAG","First Trust Indxx Global Agriculture ETF",NA
"1212","FTC","First Trust Large Cap Growth AlphaDEX Fund",NA
"1213","FTCS","First Trust Capital Strength ETF",NA
"1214","FTDR","frontdoor inc. ",NA
"1215","FTEK","Fuel Tech","Technologie"
"1216","FTFT","Future FinTech Group","Konsumgüter"
"1217","FTGC","First Trust Global Tactical Commodity Strategy Fund",NA
"1218","FTHI","First Trust BuyWrite Income ETF",NA
"1219","FTHM","Fathom Holdings",NA
"1220","FTIV","FinTech AcquisitionIV ",NA
"1221","FTLB","First Trust Hedged BuyWrite Income ETF",NA
"1222","FTNT","Fortinet",NA
"1223","FTOC","FTAC Olympus Acquisition",NA
"1224","FTRI","First Trust Indxx Global Natural Resources Income ETF",NA
"1225","FTSL","First Trust Senior Loan Fund ETF",NA
"1226","FTSM","First Trust Enhanced Short Maturity ETF",NA
"1227","FTXD","First Trust Nasdaq Retail ETF",NA
"1228","FTXG","First Trust Nasdaq Food & Beverage ETF",NA
"1229","FTXH","First Trust Nasdaq Pharmaceuticals ETF",NA
"1230","FTXL","First Trust Nasdaq Semiconductor ETF",NA
"1231","FTXN","First Trust Nasdaq Oil & Gas ETF",NA
"1232","FTXO","First Trust Nasdaq Bank ETF",NA
"1233","FTXR","First Trust Nasdaq Transportation ETF",NA
"1234","FULC","Fulcrum Therapeutics","Technologie"
"1235","FULT","Fulton Financial","Finanzen"
"1236","FULT","Fulton Financial","Finanzen"
"1237","FUNC","First United","Finanzen"
"1238","FUND","Sprott Focus Trust",NA
"1239","FUSB","First US Bancshares","Finanzen"
"1240","FUSB","First US Bancshares","Finanzen"
"1241","FUSN","Fusion Pharmaceuticals",NA
"1242","FUTU","Futu Holdings Limited ",NA
"1243","FUV","Arcimoto","Fahrzeugindustrie"
"1244","FV","First Trust Dorsey Wright Focus 5 ETF",NA
"1245","FVAM","5:01 Acquisition",NA
"1246","FVC","First Trust Dorsey Wright Dynamic Focus 5 ETF",NA
"1247","FVCB","FVCBankcorp","Finanzen"
"1248","FVCB","FVCBankcorp","Finanzen"
"1249","FVE","Five Star Senior Living","Gesundheitswesen"
"1250","FWP","Forward Pharma A/S ",NA
"1251","FWRD","Forward Air","Infrakstruktur"
"1252","FXNC","First National",NA
"1253","FYC","First Trust Small Cap Growth AlphaDEX Fund",NA
"1254","FYT","First Trust Small Cap Value AlphaDEX Fund",NA
"1255","FYX","First Trust Small Cap Core AlphaDEX Fund",NA
"1256","GABC","German American Bancorp","Finanzen"
"1257","GABC","German American Bancorp","Finanzen"
"1258","GAIA","Gaia",NA
"1259","GAIN","Gladstone Investment",NA
"1260","GALT","Galectin Therapeutics","Gesundheitswesen"
"1261","GAN","GAN Limited ",NA
"1262","GASS","StealthGas",NA
"1263","GBCI","Glacier Bancorp","Finanzen"
"1264","GBCI","Glacier Bancorp","Finanzen"
"1265","GBDC","Golub Capital BDC",NA
"1266","GBIO","Generation Bio Co. ",NA
"1267","GBLI","Global Indemnity Group LLC ",NA
"1268","GBT","Global Blood Therapeutics","Gesundheitswesen"
"1269","GCBC","Greene County Bancorp","Finanzen"
"1270","GCBC","Greene County Bancorp","Finanzen"
"1271","GDEN","Golden Entertainment",NA
"1272","GDRX","GoodRx Holdings",NA
"1273","GDS","GDS Holdings Limited ",NA
"1274","GDYN","Grid Dynamics Holdings",NA
"1275","GEC","Great Elm Capital Group ",NA
"1276","GECC","Great Elm Capital",NA
"1277","GENC","Gencor Industries",NA
"1278","GENE","Genetic Technologies Ltd ",NA
"1279","GENY","Principal Millennials Index ETF",NA
"1280","GEOS","Geospace Technologies",NA
"1281","GERN","Geron",NA
"1282","GEVO","Gevo","Rohstoffe"
"1283","GFED","Guaranty Federal Bancshares","Finanzen"
"1284","GFED","Guaranty Federal Bancshares","Finanzen"
"1285","GFN","General Finance","Finanzen"
"1286","GGAL","Grupo Financiero Galicia S.A. ",NA
"1287","GH","Guardant Health","Gesundheitswesen"
"1288","GHIV","Gores Holdings IV",NA
"1289","GHSI","Guardion Health Sciences","Gesundheitswesen"
"1290","GIFI","Gulf Island Fabrication","Rohstoffe"
"1291","GIGE","SoFi Gig Economy ETF",NA
"1292","GIGM","GigaMedia Limited ",NA
"1293","GIII","G",NA
"1294","GILD","Gilead Sciences","Technologie"
"1295","GILT","Gilat Satellite Networks",NA
"1296","GLAD","Gladstone Capital",NA
"1297","GLBS","Globus Maritime Limited ",NA
"1298","GLBZ","Glen Burnie Bancorp ",NA
"1299","GLDD","Great Lakes Dredge & Dock","Finanzen"
"1300","GLDI","Credit Suisse Gold Shares Covered Call Exchange Traded Notes",NA
"1301","GLG","TD Holdings",NA
"1302","GLIBA","GCI Liberty",NA
"1303","GLMD","Galmed Pharmaceuticals","Gesundheitswesen"
"1304","GLNG","Golar LNG Limited ",NA
"1305","GLPG","Galapagos NV ",NA
"1306","GLPI","Gaming and Leisure Properties","Immobilien"
"1307","GLRE","Greenlight Reinsurance",NA
"1308","GLSI","Greenwich LifeSciences",NA
"1309","GLTO","Galecto",NA
"1310","GLUU","Glu Mobile",NA
"1311","GLYC","GlycoMimetics","Technologie"
"1312","GMAB","Genmab A/S ",NA
"1313","GMBL","Esports Entertainment Group",NA
"1314","GMDA","Gamida Cell","Technologie"
"1315","GMHI","Gores Metropoulos",NA
"1316","GMLP","Golar LNG Partners LP ",NA
"1317","GNCA","Genocea Biosciences","Gesundheitswesen"
"1318","GNFT","GENFIT S.A. ",NA
"1319","GNLN","Greenlane Holdings",NA
"1320","GNMA","iShares GNMA Bond ETF",NA
"1321","GNMK","GenMark Diagnostics","Technologie"
"1322","GNOM","Global X Genomics & Biotechnology ETF",NA
"1323","GNPX","Genprex","Technologie"
"1324","GNRS","Greenrose Acquisition",NA
"1325","GNSS","Genasys",NA
"1326","GNTX","Gentex","Fahrzeugindustrie"
"1327","GNTY","Guaranty Bancshares","Finanzen"
"1328","GNTY","Guaranty Bancshares","Finanzen"
"1329","GNUS","Genius Brands International",NA
"1330","GO","Grocery Outlet Holding","Finanzen"
"1331","GOCO","GoHealth",NA
"1332","GOGL","Golden Ocean Group Limited ",NA
"1333","GOGO","Gogo",NA
"1334","GOOD","Gladstone Commercial","Immobilien"
"1335","GOOG","Alphabet",NA
"1336","GOSS","Gossamer Bio","Gesundheitswesen"
"1337","GOVX","GeoVax Labs",NA
"1338","GP","GreenPower Motor Company",NA
"1339","GPOR","Gulfport Energy","Rohstoffe"
"1340","GPP","Green Plains Partners LP ",NA
"1341","GPRE","Green Plains",NA
"1342","GPRO","GoPro",NA
"1343","GRAY","Graybug Vision",NA
"1344","GRBK","Green Brick Partners","Rohstoffe"
"1345","GRCY","Greencity Acquisition",NA
"1346","GRFS","Grifols S.A. ",NA
"1347","GRID","First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund",NA
"1348","GRIF","Griffin Industrial Realty",NA
"1349","GRIL","Muscle Maker Inc ",NA
"1350","GRIN","Grindrod Shipping Holdings","Infrakstruktur"
"1351","GRMN","Garmin","Finanzen"
"1352","GRNQ","Greenpro Capital",NA
"1353","GRNV","GreenVision Acquisition Corp ",NA
"1354","GROW","U.S. Global Investors",NA
"1355","GRPN","Groupon",NA
"1356","GRSV","Gores Holdings V",NA
"1357","GRTS","Gritstone Oncology","Gesundheitswesen"
"1358","GRTX","Galera Therapeutics","Gesundheitswesen"
"1359","GRVY","GRAVITY Co.",NA
"1360","GRWG","GrowGeneration","Konsumgüter"
"1361","GSBC","Great Southern Bancorp","Finanzen"
"1362","GSBC","Great Southern Bancorp","Finanzen"
"1363","GSHD","Goosehead Insurance",NA
"1364","GSIT","GSI Technology","Technologie"
"1365","GSKY","GreenSky",NA
"1366","GSM","Ferroglobe PLC ",NA
"1367","GSMG","Glory Star New Media Group Holdings Limited ",NA
"1368","GSUM","Gridsum Holding",NA
"1369","GT","The Goodyear Tire & Rubber Company ",NA
"1370","GTEC","Greenland Technologies Holding",NA
"1371","GTH","Genetron Holdings Limited ",NA
"1372","GTHX","G1 Therapeutics","Technologie"
"1373","GTIM","Good Times Restaurants",NA
"1374","GTLS","Chart Industries",NA
"1375","GTYH","GTY Technology Holdings","Finanzen"
"1376","GURE","Gulf Resources","Chemie"
"1377","GVP","GSE Systems",NA
"1378","GWACU","Good Works Acquisition",NA
"1379","GWGH","GWG Holdings Inc ",NA
"1380","GWPH","GW Pharmaceuticals Plc ",NA
"1381","GWRS","Global Water Resources",NA
"1382","GXGX","GX Acquisition",NA
"1383","GXTG","Global X Thematic Growth ETF",NA
"1384","GYRO","Gyrodyne  LLC ",NA
"1385","HA","Hawaiian Holdings","Finanzen"
"1386","HAACU","Health Assurance Acquisition",NA
"1387","HAFC","Hanmi Financial","Finanzen"
"1388","HAFC","Hanmi Financial","Finanzen"
"1389","HAIN","The Hain Celestial Group",NA
"1390","HALL","Hallmark Financial Services","Finanzen"
"1391","HALO","Halozyme Therapeutics","Technologie"
"1392","HAPP","Happiness Biotech Group Limited ",NA
"1393","HARP","Harpoon Therapeutics","Gesundheitswesen"
"1394","HAS","Hasbro","Konsumgüter"
"1395","HAYN","Haynes International",NA
"1396","HBAN","Huntington Bancshares Incorporated ",NA
"1397","HBCP","Home Bancorp","Finanzen"
"1398","HBCP","Home Bancorp","Finanzen"
"1399","HBIO","Harvard Bioscience","Technologie"
"1400","HBMD","Howard Bancorp","Finanzen"
"1401","HBNC","Horizon Bancorp","Finanzen"
"1402","HBNC","Horizon Bancorp","Finanzen"
"1403","HBP","Huttig Building Products",NA
"1404","HBT","HBT Financial","Finanzen"
"1405","HBT","HBT Financial","Finanzen"
"1406","HCAC","Hennessy Capital AcquisitionIV ",NA
"1407","HCAP","Harvest Capital Credit","Finanzen"
"1408","HCAT","Health Catalyst Inc ",NA
"1409","HCCH","HL Acquisitions","Finanzen"
"1410","HCCI","Heritage",NA
"1411","HCDI","Harbor Custom Development",NA
"1412","HCKT","The Hackett Group",NA
"1413","HCM","Hutchison China MediTech Limited ",NA
"1414","HCSG","Healthcare Services Group","Gesundheitswesen"
"1415","HDS","HD Supply Holdings","Finanzen"
"1416","HDSN","Hudson Technologies",NA
"1417","HEAR","Turtle Beach",NA
"1418","HEBT","Hebron Technology Co.",NA
"1419","HEC","Hudson Executive Investment",NA
"1420","HEES","H&E Equipment Services",NA
"1421","HELE","Helen of Troy Limited ",NA
"1422","HEPA","Hepion Pharmaceuticals","Technologie"
"1423","HERD","Pacer Cash Cows Fund of Funds ETF",NA
"1424","HERO","Global X Video Games & Esports ETF",NA
"1425","HEWG","iShares Currency Hedged MSCI Germany ETF",NA
"1426","HFBL","Home Federal Bancorpof Louisiana ",NA
"1427","HFFG","HF Foods Group","Finanzen"
"1428","HFWA","Heritage Financial",NA
"1429","HGBL","Heritage Global",NA
"1430","HGEN","Humanigen",NA
"1431","HGSH","China HGS Real Estate",NA
"1432","HHR","HeadHunter Group PLC ",NA
"1433","HIBB","Hibbett Sports","Konsumgüter"
"1434","HIFS","Hingham Institution for Savings ",NA
"1435","HIHO","Highway Holdings Limited ",NA
"1436","HIMX","Himax Technologies",NA
"1437","HJLI","Hancock Jaffe Laboratories","Technologie"
"1438","HLAL","Wahed FTSE USA Shariah ETF",NA
"1439","HLG","Hailiang Education Group",NA
"1440","HLIO","Helios Technologies",NA
"1441","HLIT","Harmonic","Technologie"
"1442","HLNE","Hamilton Lane Incorporated ",NA
"1443","HLXA","Helix Acquisition",NA
"1444","HMHC","Houghton Mifflin Harcourt Company ",NA
"1445","HMNF","HMN Financial","Finanzen"
"1446","HMNF","HMN Financial","Finanzen"
"1447","HMST","HomeStreet","Finanzen"
"1448","HMST","HomeStreet","Finanzen"
"1449","HMSY","HMS Holdings Corp ",NA
"1450","HMTV","Hemisphere Media Group",NA
"1451","HNDL","Strategy Shares Nasdaq 7HANDL Index ETF",NA
"1452","HNNA","Hennessy Advisors","Finanzen"
"1453","HNRG","Hallador Energy Company ",NA
"1454","HOFT","Hooker Furniture","Konsumgüter"
"1455","HOFV","Hall of Fame Resort &amp; Entertainment Company ",NA
"1456","HOL","Holicity",NA
"1457","HOLI","Hollysys Automation Technologies","Finanzen"
"1458","HOLX","Hologic","Gesundheitswesen"
"1459","HOMB","Home BancShares",NA
"1460","HONE","HarborOne Bancorp","Finanzen"
"1461","HONE","HarborOne Bancorp","Finanzen"
"1462","HOOK","HOOKIPA Pharma","Technologie"
"1463","HOPE","Hope Bancorp","Finanzen"
"1464","HOPE","Hope Bancorp","Finanzen"
"1465","HOTH","Hoth Therapeutics","Gesundheitswesen"
"1466","HOVNP","Hovnanian Enterprises Inc ",NA
"1467","HPK","HighPeak Energy",NA
"1468","HQI","HireQuest","Finanzen"
"1469","HQY","HealthEquity","Gesundheitswesen"
"1470","HRMY","Harmony Biosciences Holdings",NA
"1471","HROW","Harrow Health","Gesundheitswesen"
"1472","HRTX","Heron Therapeutics  ",NA
"1473","HRZN","Horizon Technology Finance","Finanzen"
"1474","HSAQ","Health Sciences Acquisitions2 ",NA
"1475","HSDT","Helius Medical Technologies",NA
"1476","HSIC","Henry Schein","Gesundheitswesen"
"1477","HSII","Heidrick & Struggles International",NA
"1478","HSKA","Heska",NA
"1479","HSON","Hudson Global",NA
"1480","HST","Host Hotels  ",NA
"1481","HSTM","HealthStream",NA
"1482","HSTO","Histogen",NA
"1483","HTBI","HomeTrust Bancshares","Finanzen"
"1484","HTBI","HomeTrust Bancshares","Finanzen"
"1485","HTBK","Heritage Commerce Corp ",NA
"1486","HTBX","Heat Biologics","Technologie"
"1487","HTGM","HTG Molecular Diagnostics","Gesundheitswesen"
"1488","HTHT","Huazhu Group Limited ",NA
"1489","HTIA","Healthcare Trust",NA
"1490","HTLD","Heartland Express","Infrakstruktur"
"1491","HTLF","Heartland Financial USA","Finanzen"
"1492","HUBG","Hub Group",NA
"1493","HUGE","FSD Pharma",NA
"1494","HUIZ","Huize Holding Limited ",NA
"1495","HURC","Hurco Companies",NA
"1496","HURN","Huron Consulting Group","Finanzen"
"1497","HUSN","Hudson Capital",NA
"1498","HVBC","HV Bancorp","Finanzen"
"1499","HWBK","Hawthorn Bancshares","Finanzen"
"1500","HWBK","Hawthorn Bancshares","Finanzen"
"1501","HWC","Hancock Whitney",NA
"1502","HWCC","Houston Wire & Cable Company ",NA
"1503","HWKN","Hawkins","Chemie"
"1504","HX","Hexindai",NA
"1505","HYAC","Haymaker AcquisitionII ",NA
"1506","HYLS","First Trust High Yield Long/Short ETF",NA
"1507","HYMC","Hycroft Mining Holding",NA
"1508","HYRE","HyreCar","Fahrzeugindustrie"
"1509","HYXF","iShares ESG Advanced High Yield Corporate Bond ETF",NA
"1510","HYZD","WisdomTree Interest Rate Hedged High Yield Bond Fund",NA
"1511","HZNP","Horizon Therapeutics Public Limited Company ",NA
"1512","IAC","IAC/InterActiveCorp ",NA
"1513","IART","Integra LifeSciences Holdings",NA
"1514","IBB","iShares Nasdaq Biotechnology Index Fund",NA
"1515","IBBJ","Defiance Nasdaq Junior Biotechnology ETF",NA
"1516","IBCP","Independent Bank","Finanzen"
"1517","IBCP","Independent Bank","Finanzen"
"1518","IBEX","IBEX Limited ",NA
"1519","IBKR","Interactive Brokers Group",NA
"1520","IBOC","International Bancshares","Finanzen"
"1521","IBOC","International Bancshares","Finanzen"
"1522","IBTA","iShares iBonds Dec 2021 Term Treasury ETF",NA
"1523","IBTB","iShares iBonds Dec 2022 Term Treasury ETF",NA
"1524","IBTD","iShares iBonds Dec 2023 Term Treasury ETF",NA
"1525","IBTE","iShares iBonds Dec 2024 Term Treasury ETF",NA
"1526","IBTF","iShares iBonds Dec 2025 Term Treasury ETF",NA
"1527","IBTG","iShares iBonds Dec 2026 Term Treasury ETF",NA
"1528","IBTH","iShares iBonds Dec 2027 Term Treasury ETF",NA
"1529","IBTI","iShares iBonds Dec 2028 Term Treasury ETF",NA
"1530","IBTJ","iShares iBonds Dec 2029 Term Treasury ETF",NA
"1531","IBTK","iShares iBonds Dec 2030 Term Treasury ETF",NA
"1532","IBTX","Independent Bank Group Inc ",NA
"1533","ICAD","icad inc. ",NA
"1534","ICBK","County Bancorp","Finanzen"
"1535","ICCC","ImmuCell",NA
"1536","ICCH","ICC Holdings","Finanzen"
"1537","ICFI","ICF International",NA
"1538","ICHR","Ichor Holdings ",NA
"1539","ICLK","iClick Interactive Asia Group Limited ",NA
"1540","ICLN","iShares S&P Global Clean Energy Index Fund",NA
"1541","ICLR","ICON plc ",NA
"1542","ICON","Iconix Brand Group","Sonstige"
"1543","ICPT","Intercept Pharmaceuticals","Gesundheitswesen"
"1544","ICUI","ICU Medical","Gesundheitswesen"
"1545","IDCC","InterDigital","Technologie"
"1546","IDEX","Ideanomics","Finanzen"
"1547","IDLB","Invesco FTSE International Low Beta Equal Weight ETF",NA
"1548","IDN","Intellicheck",NA
"1549","IDRA","Idera Pharmaceuticals","Technologie"
"1550","IDXG","Interpace Biosciences",NA
"1551","IDXX","IDEXX Laboratories","Technologie"
"1552","IDYA","IDEAYA Biosciences","Technologie"
"1553","IEA","Infrastructure and Energy Alternatives",NA
"1554","IEC","IEC Electronics",NA
"1555","IEF","iShares 7",NA
"1556","IEI","iShares 3",NA
"1557","IEP","Icahn Enterprises L.P. ",NA
"1558","IESC","IES Holdings","Finanzen"
"1559","IEUS","iShares MSCI Europe Small",NA
"1560","IFGL","iShares FTSE EPRA/NAREIT Global Real Estate ex",NA
"1561","IFMK","iFresh","Konsumgüter"
"1562","IFRX","InflaRx N.V. ",NA
"1563","IFV","First Trust Dorsey Wright International Focus 5 ETF",NA
"1564","IGACU","IG Acquisition",NA
"1565","IGF","iShares Global Infrastructure ETF",NA
"1566","IGIB","iShares 5",NA
"1567","IGIC","International General Insurance Holdings","Finanzen"
"1568","IGMS","IGM Biosciences","Technologie"
"1569","IGOV","iShares International Treasury Bond ETF",NA
"1570","IGSB","iShares 1",NA
"1571","IHRT","iHeartMedia",NA
"1572","III","Information Services Group",NA
"1573","IIIN","Insteel Industries",NA
"1574","IIIV","i3 Verticals",NA
"1575","IIN","IntriCon",NA
"1576","IIVI","II",NA
"1577","IJT","iShares S&P Small",NA
"1578","IKNX","Ikonics","Chemie"
"1579","ILMN","Illumina","Gesundheitswesen"
"1580","ILPT","Industrial Logistics Properties Trust ",NA
"1581","IMAB","I",NA
"1582","IMAC","IMAC Holdings","Finanzen"
"1583","IMBI","iMedia Brands",NA
"1584","IMGN","ImmunoGen",NA
"1585","IMKTA","Ingles Markets Incorporated ",NA
"1586","IMMP","Immutep Limited ",NA
"1587","IMMR","Immersion","Technologie"
"1588","IMNM","Immunome",NA
"1589","IMOS","ChipMOS TECHNOLOGIES INC. ",NA
"1590","IMRA","IMARA","Gesundheitswesen"
"1591","IMRN","Immuron Limited ",NA
"1592","IMTE","Integrated Media Technology Limited ",NA
"1593","IMTX","Immatics N.V. ",NA
"1594","IMUX","Immunic ",NA
"1595","IMV","IMV","Technologie"
"1596","IMVT","Immunovant ",NA
"1597","IMXI","International Money Express","Finanzen"
"1598","INAQ","INSU AcquisitionII ",NA
"1599","INBK","First Internet Bancorp ",NA
"1600","INBX","Inhibrx",NA
"1601","INCY","Incyte","Technologie"
"1602","INDY","iShares S&P India Nifty 50 Index Fund",NA
"1603","INFI","Infinity Pharmaceuticals","Gesundheitswesen"
"1604","INFN","Infinera",NA
"1605","INFR","Legg Mason Global Infrastructure ETF",NA
"1606","INGN","Inogen Inc ",NA
"1607","INM","InMed Pharmaceuticals",NA
"1608","INMB","INmune Bio","Gesundheitswesen"
"1609","INMD","InMode ",NA
"1610","INO","Inovio Pharmaceuticals","Gesundheitswesen"
"1611","INOD","Innodata",NA
"1612","INOV","Inovalon Holdings",NA
"1613","INPX","Inpixon  ",NA
"1614","INSE","Inspired Entertainment",NA
"1615","INSG","Inseego","Finanzen"
"1616","INSM","Insmed","Gesundheitswesen"
"1617","INTC","Intel",NA
"1618","INTG","The Intergroup",NA
"1619","INTU","Intuit",NA
"1620","INTZ","Intrusion",NA
"1621","INVA","Innoviva","Technologie"
"1622","INVE","Identiv","Technologie"
"1623","INVO","INVO BioScience",NA
"1624","INZY","Inozyme Pharma",NA
"1625","IONS","Ionis Pharmaceuticals",NA
"1626","IOSP","Innospec","Chemie"
"1627","IOVA","Iovance Biotherapeutics","Technologie"
"1628","IPAR","Inter Parfums","Gesundheitswesen"
"1629","IPDN","Professional Diversity Network",NA
"1630","IPGP","IPG Photonics",NA
"1631","IPHA","Innate Pharma S.A. ",NA
"1632","IPHI","Inphi",NA
"1633","IPKW","Invesco International BuyBack Achievers ETF",NA
"1634","IPLDP","Interstate Power and Light Company ",NA
"1635","IPWR","Ideal Power",NA
"1636","IQ","iQIYI",NA
"1637","IRBT","iRobot","Konsumgüter"
"1638","IRCP","IRSA Propiedades Comerciales S.A. ",NA
"1639","IRDM","Iridium Communications Inc ",NA
"1640","IRIX","IRIDEX",NA
"1641","IRMD","iRadimed",NA
"1642","IROQ","IF Bancorp","Finanzen"
"1643","IROQ","IF Bancorp","Finanzen"
"1644","IRTC","iRhythm Technologies","Gesundheitswesen"
"1645","IRWD","Ironwood Pharmaceuticals",NA
"1646","ISBC","Investors Bancorp","Finanzen"
"1647","ISBC","Investors Bancorp","Finanzen"
"1648","ISDX","Invesco RAFI Strategic Developed ex",NA
"1649","ISEE","IVERIC bio","Technologie"
"1650","ISEM","Invesco RAFI Strategic Emerging Markets ETF",NA
"1651","ISIG","Insignia Systems",NA
"1652","ISNS","Image Sensing Systems",NA
"1653","ISRG","Intuitive Surgical",NA
"1654","ISSC","Innovative Solutions and Support","Sonstige"
"1655","ISTB","iShares Core 1",NA
"1656","ISTR","Investar Holding","Finanzen"
"1657","ITAC","Industrial Tech Acquisitions",NA
"1658","ITCI","Intra",NA
"1659","ITI","Iteris",NA
"1660","ITIC","Investors Title Company ",NA
"1661","ITMR","Itamar Medical",NA
"1662","ITOS","iTeos Therapeutics",NA
"1663","ITRI","Itron",NA
"1664","ITRM","Iterum Therapeutics plc ",NA
"1665","ITRN","Ituran Location and Control","Fahrzeugindustrie"
"1666","IUS","Invesco RAFI Strategic US ETF",NA
"1667","IUSB","iShares Core Total USD Bond Market ETF",NA
"1668","IUSG","iShares Core S&P U.S. Growth ETF",NA
"1669","IUSS","Invesco RAFI Strategic US Small Company ETF",NA
"1670","IUSV","iShares Core S&P U.S. Value ETF",NA
"1671","IVA","Inventiva S.A. ",NA
"1672","IVAC","Intevac","Technologie"
"1673","IXUS","iShares Core MSCI Total International Stock ETF",NA
"1674","IZEA","IZEA Worldwide","Finanzen"
"1675","JACK","Jack In The Box",NA
"1676","JAGX","Jaguar Health","Gesundheitswesen"
"1677","JAKK","JAKKS Pacific",NA
"1678","JAMF","Jamf Holding",NA
"1679","JAN","JanOne",NA
"1680","JAZZ","Jazz Pharmaceuticals plc ",NA
"1681","JBHT","J.B. Hunt Transport Services",NA
"1682","JBLU","JetBlue Airways","Infrakstruktur"
"1683","JBSS","John B. Sanfilippo & Son",NA
"1684","JCOM","j2 Global",NA
"1685","JCS","Communications Systems","Technologie"
"1686","JCTCF","Jewett",NA
"1687","JD","JD.com",NA
"1688","JFIN","Jiayin Group",NA
"1689","JFU","9F",NA
"1690","JG","Aurora Mobile Limited ",NA
"1691","JJSF","J & J Snack Foods",NA
"1692","JKHY","Jack Henry & Associates",NA
"1693","JKI","iShares Morningstar Mid",NA
"1694","JMPNL","JMP Group LLC ",NA
"1695","JNCE","Jounce Therapeutics","Gesundheitswesen"
"1696","JOBS","51job",NA
"1697","JOUT","Johnson Outdoors",NA
"1698","JRJC","China Finance Online Co. Limited ",NA
"1699","JRSH","Jerash Holdings (US)","Finanzen"
"1700","JRVR","James River Group Holdings","Finanzen"
"1701","JSM","Navient","Finanzen"
"1702","JSMD","Janus Henderson Small/Mid Cap Growth Alpha ETF",NA
"1703","JSML","Janus Henderson Small Cap Growth Alpha ETF",NA
"1704","JUPW","Jupiter Wellness",NA
"1705","JVA","Coffee Holding Co.",NA
"1706","JYNT","The Joint","Gesundheitswesen"
"1707","KALA","Kala Pharmaceuticals",NA
"1708","KALU","Kaiser Aluminum",NA
"1709","KALV","KalVista Pharmaceuticals",NA
"1710","KBAL","Kimball International",NA
"1711","KBNT","Kubient",NA
"1712","KBSF","KBS Fashion Group Limited ",NA
"1713","KBWB","Invesco KBW Bank ETF",NA
"1714","KBWD","Invesco KBW High Dividend Yield Financial ETF",NA
"1715","KBWP","Invesco KBW Property & Casualty Insurance ETF",NA
"1716","KBWR","Invesco KBW Regional Banking ETF",NA
"1717","KBWY","Invesco KBW Premium Yield Equity REIT ETF",NA
"1718","KC","Kingsoft Cloud Holdings Limited ",NA
"1719","KCAPL","Portman Ridge Finance",NA
"1720","KDMN","Kadmon Holdings",NA
"1721","KDNY","Chinook Therapeutics",NA
"1722","KDP","Keurig Dr Pepper",NA
"1723","KE","Kimball Electronics",NA
"1724","KELYA","Kelly Services",NA
"1725","KEQU","Kewaunee Scientific",NA
"1726","KERN","Akerna",NA
"1727","KFFB","Kentucky First Federal Bancorp ",NA
"1728","KFRC","Kforce",NA
"1729","KHC","The Kraft Heinz Company ",NA
"1730","KIDS","OrthoPediatrics","Gesundheitswesen"
"1731","KIN","Kindred Biosciences",NA
"1732","KINS","Kingstone Companies Inc ",NA
"1733","KIRK","Kirkland's","Konsumgüter"
"1734","KLAC","KLA ",NA
"1735","KLDO","Kaleido Biosciences",NA
"1736","KLIC","Kulicke and Soffa Industries",NA
